epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.4796,1.20565,2.79167,1.49995,0.5972,0.67565,0.55464,0.35685,1.17241,5.93963,1.50831,0.000408286,0.000408286,0.000408286
2,112.764,1.11436,1.99433,1.34966,0.23722,0.46229,0.42594,0.26604,1.12609,9.86571,1.31925,0.000873672,0.000873672,0.000873672
3,165.247,1.1071,1.63118,1.28415,0.72727,0.28186,0.32745,0.20842,1.30813,11.3191,1.66903,0.00132727,0.00132727,0.00132727
4,217.81,1.19312,1.84525,1.28798,0.6557,0.60544,0.55267,0.35103,1.23201,3.82615,1.42601,0.00137595,0.00137595,0.00137595
5,270.704,1.34576,1.99142,1.35504,0.52598,0.55254,0.50178,0.31558,1.43516,4.6863,1.58686,0.00135826,0.00135826,0.00135826
6,324.136,1.21858,1.50671,1.26955,0.46988,0.50515,0.53093,0.32928,1.35968,6.98173,1.62844,0.00134058,0.00134058,0.00134058
7,377.098,1.21973,1.32091,1.33702,0.38044,0.44404,0.32784,0.19646,1.68098,12.8231,2.59545,0.0013229,0.0013229,0.0013229
8,430.095,1.13352,1.19672,1.28235,0.30122,0.33956,0.24635,0.14042,1.62551,10.046,2.01953,0.00130521,0.00130521,0.00130521
9,483.19,1.05645,1.03049,1.25149,0.18713,0.47936,0.28118,0.14002,1.76944,11.0084,1.882,0.00128753,0.00128753,0.00128753
10,536.323,1.08051,1.06127,1.23982,0.4835,0.52079,0.4708,0.30771,1.3532,6.11168,1.52586,0.00126985,0.00126985,0.00126985
11,590.02,1.06965,0.93685,1.18445,0.41658,0.58635,0.385,0.24413,1.29744,11.4503,1.41239,0.00125216,0.00125216,0.00125216
12,643.46,1.03514,0.86827,1.16379,0.61131,0.55513,0.53813,0.37999,1.15754,3.06425,1.28363,0.00123448,0.00123448,0.00123448
13,696.833,1.06584,0.84498,1.18846,0.53512,0.61381,0.54384,0.37306,1.16277,2.19393,1.30062,0.00121679,0.00121679,0.00121679
14,749.973,1.03705,0.83362,1.23983,0.46296,0.72119,0.52177,0.34118,1.17953,1.97333,1.31353,0.00119911,0.00119911,0.00119911
15,802.638,1.01392,0.83223,1.17594,0.61016,0.61774,0.53851,0.38348,1.12796,2.48718,1.24419,0.00118143,0.00118143,0.00118143
16,855.567,0.98268,0.79232,1.16973,0.72819,0.58789,0.61169,0.43509,1.12686,1.56789,1.27345,0.00116374,0.00116374,0.00116374
17,908.155,0.95136,0.76422,1.13061,0.74132,0.63204,0.66846,0.50726,1.01252,1.46284,1.19202,0.00114606,0.00114606,0.00114606
18,961.024,0.93374,0.68215,1.1309,0.8805,0.69591,0.77345,0.55146,1.0152,1.19718,1.17395,0.00112837,0.00112837,0.00112837
19,1013.49,0.96304,0.68531,1.14093,0.92088,0.80544,0.86322,0.63936,0.99822,0.85567,1.13157,0.00111069,0.00111069,0.00111069
20,1066.12,0.92291,0.66898,1.14149,0.95085,0.78755,0.85254,0.65276,0.99882,0.85882,1.14785,0.00109301,0.00109301,0.00109301
21,1118.47,0.90469,0.64659,1.13463,0.97035,0.80008,0.85205,0.64513,0.9774,0.83466,1.1197,0.00107532,0.00107532,0.00107532
22,1170.67,0.89053,0.61956,1.11262,0.97985,0.8062,0.86737,0.66419,0.94485,0.68739,1.11111,0.00105764,0.00105764,0.00105764
23,1223.27,0.98455,0.66271,1.17636,0.96435,0.81292,0.84763,0.66195,0.94317,0.66768,1.1086,0.00103995,0.00103995,0.00103995
24,1275.72,0.9445,0.63919,1.14881,0.98914,0.80867,0.86678,0.6785,0.92804,0.68093,1.08719,0.00102227,0.00102227,0.00102227
25,1329.01,0.94056,0.65321,1.11607,0.96563,0.83535,0.868,0.67035,0.94125,0.66818,1.09847,0.00100459,0.00100459,0.00100459
26,1382.38,0.94811,0.64584,1.15042,0.98129,0.81725,0.8569,0.66903,0.9289,0.6389,1.08068,0.000986903,0.000986903,0.000986903
27,1435.05,0.88873,0.58592,1.10929,0.94942,0.77284,0.83987,0.65792,0.88967,0.65007,1.04947,0.000969219,0.000969219,0.000969219
28,1487.65,0.84307,0.58712,1.10453,0.93585,0.78894,0.84331,0.63376,0.92723,0.65179,1.0663,0.000951535,0.000951535,0.000951535
29,1539.94,0.80678,0.56441,1.07296,0.90243,0.84939,0.84986,0.67799,0.8922,0.65115,1.05924,0.000933851,0.000933851,0.000933851
30,1592.42,0.83615,0.55492,1.0742,0.94512,0.84245,0.85172,0.6884,0.86246,0.58666,1.06313,0.000916168,0.000916168,0.000916168
31,1644.21,0.88043,0.56078,1.08044,0.95935,0.83751,0.85288,0.68822,0.86465,0.5698,1.04664,0.000898484,0.000898484,0.000898484
32,1696.23,0.84068,0.55441,1.11459,0.95307,0.83108,0.855,0.68957,0.8882,0.60014,1.07449,0.0008808,0.0008808,0.0008808
33,1748.54,0.80373,0.54417,1.07109,0.97743,0.80409,0.85442,0.68031,0.90059,0.61714,1.06609,0.000863116,0.000863116,0.000863116
34,1802.51,0.88041,0.57588,1.08875,0.98567,0.81887,0.85509,0.68051,0.87197,0.61779,1.07112,0.000845432,0.000845432,0.000845432
35,1854.92,0.84449,0.55704,1.10507,0.96216,0.84351,0.85642,0.6625,0.90661,0.60254,1.10381,0.000827748,0.000827748,0.000827748
36,1907.35,0.82705,0.52451,1.09279,0.98416,0.81963,0.86622,0.69224,0.87529,0.5722,1.07469,0.000810064,0.000810064,0.000810064
37,1959.27,0.84972,0.56903,1.13106,0.95651,0.84034,0.86622,0.67413,0.90354,0.56766,1.07692,0.00079238,0.00079238,0.00079238
38,2011.3,0.82272,0.52247,1.0946,0.95959,0.83112,0.86525,0.66911,0.91428,0.55846,1.07042,0.000774697,0.000774697,0.000774697
39,2063.27,0.82576,0.50437,1.06906,0.9526,0.84219,0.85684,0.66665,0.87636,0.56141,1.04746,0.000757013,0.000757013,0.000757013
40,2134.63,0.79956,0.51599,1.04713,0.97271,0.84137,0.8534,0.69263,0.85536,0.53532,1.04091,0.000739329,0.000739329,0.000739329
41,2252.64,0.79421,0.51902,1.06302,0.9884,0.82983,0.85295,0.67803,0.8843,0.53088,1.07339,0.000721645,0.000721645,0.000721645
42,2371.35,0.80547,0.48606,1.05851,0.98346,0.82831,0.85052,0.67786,0.91389,0.55847,1.07873,0.000703961,0.000703961,0.000703961
43,2489.83,0.83047,0.50002,1.05142,0.96946,0.81563,0.84806,0.70072,0.85929,0.5922,1.04602,0.000686277,0.000686277,0.000686277
44,2605.99,0.77756,0.5006,1.05018,0.98982,0.82906,0.85113,0.70044,0.82235,0.53584,1.03703,0.000668593,0.000668593,0.000668593
45,2723.54,0.80288,0.51102,1.07153,0.98902,0.82831,0.84944,0.70065,0.83454,0.55116,1.0362,0.000650909,0.000650909,0.000650909
46,2840.8,0.7401,0.4721,1.06411,0.98249,0.82427,0.85118,0.69834,0.82946,0.56802,1.02984,0.000633226,0.000633226,0.000633226
47,2892.25,0.80549,0.5035,1.05761,0.98403,0.81852,0.85389,0.69527,0.86736,0.57987,1.0459,0.000615542,0.000615542,0.000615542
48,2944.99,0.75327,0.47798,1.03173,0.98941,0.81985,0.8534,0.69038,0.84646,0.58659,1.03184,0.000597858,0.000597858,0.000597858
49,2996.22,0.67794,0.43999,0.99924,0.98524,0.82167,0.85295,0.68378,0.87412,0.59647,1.04724,0.000580174,0.000580174,0.000580174
50,3048,0.65699,0.43428,1.01019,0.97936,0.82619,0.85253,0.67804,0.83529,0.54582,1.03763,0.00056249,0.00056249,0.00056249
51,3099.58,0.71913,0.46692,1.03961,0.99146,0.82182,0.855,0.69042,0.81511,0.51528,1.02272,0.000544806,0.000544806,0.000544806
52,3151.71,0.66924,0.41897,1.01674,0.9925,0.81597,0.855,0.6989,0.84939,0.50682,1.04284,0.000527122,0.000527122,0.000527122
53,3203.21,0.69747,0.44982,1.03089,0.96012,0.84258,0.855,0.69607,0.86683,0.50275,1.0507,0.000509438,0.000509438,0.000509438
54,3255.03,0.65847,0.43201,1.00506,0.98448,0.83099,0.855,0.69727,0.848,0.50591,1.04177,0.000491755,0.000491755,0.000491755
55,3307.27,0.67533,0.41212,1.01008,0.97592,0.8431,0.855,0.68974,0.84813,0.48915,1.04136,0.000474071,0.000474071,0.000474071
56,3359.16,0.71829,0.45255,1.03466,0.98145,0.84325,0.855,0.69704,0.83266,0.47577,1.04246,0.000456387,0.000456387,0.000456387
57,3411.36,0.71145,0.43819,1.02923,0.98261,0.84219,0.85442,0.69923,0.80934,0.47294,1.03667,0.000438703,0.000438703,0.000438703
58,3463.07,0.66352,0.42637,1.0026,0.98817,0.84313,0.855,0.70038,0.79405,0.44827,1.02608,0.000421019,0.000421019,0.000421019
59,3514.8,0.65411,0.42071,1.0139,0.98835,0.84289,0.855,0.70328,0.82142,0.47923,1.02684,0.000403335,0.000403335,0.000403335
60,3566.47,0.6536,0.41137,1.01573,0.98395,0.83592,0.855,0.71155,0.81322,0.50166,1.03001,0.000385651,0.000385651,0.000385651
61,3618.38,0.70886,0.43138,1.05067,0.98561,0.83058,0.855,0.70803,0.81201,0.50747,1.0331,0.000367967,0.000367967,0.000367967
62,3669.94,0.61128,0.40039,0.98889,0.98199,0.82835,0.855,0.69697,0.81822,0.48241,1.0348,0.000350284,0.000350284,0.000350284
63,3721.94,0.67779,0.40964,1.01742,0.96467,0.84288,0.855,0.68772,0.83965,0.46232,1.04079,0.0003326,0.0003326,0.0003326
64,3773.9,0.63426,0.40985,0.98614,0.9698,0.84332,0.855,0.68859,0.8298,0.44238,1.03647,0.000314916,0.000314916,0.000314916
65,3825.46,0.65702,0.39578,0.9984,0.96983,0.84323,0.855,0.70435,0.8098,0.43092,1.02789,0.000297232,0.000297232,0.000297232
66,3877.58,0.61863,0.40233,0.97728,0.97048,0.84327,0.855,0.71145,0.81707,0.44159,1.02551,0.000279548,0.000279548,0.000279548
67,3928.86,0.61457,0.40113,0.98443,0.9703,0.84296,0.855,0.70456,0.82305,0.43051,1.03351,0.000261864,0.000261864,0.000261864
68,3980.68,0.61813,0.38236,0.97504,0.9825,0.83087,0.855,0.6932,0.82311,0.44816,1.03773,0.00024418,0.00024418,0.00024418
69,4031.67,0.60195,0.37981,0.99915,0.98439,0.83006,0.855,0.6949,0.82009,0.45149,1.0332,0.000226497,0.000226497,0.000226497
70,4083.59,0.6186,0.37964,0.98817,0.98712,0.8295,0.855,0.69622,0.81925,0.4448,1.02693,0.000208813,0.000208813,0.000208813
71,4134.66,0.54804,0.3432,0.92018,0.98979,0.82934,0.855,0.68812,0.83504,0.4589,1.03032,0.000191129,0.000191129,0.000191129
72,4186.03,0.55492,0.34582,0.9164,0.99159,0.8294,0.855,0.68762,0.83998,0.47701,1.02602,0.000173445,0.000173445,0.000173445
73,4237.88,0.51419,0.33328,0.8889,0.99277,0.82951,0.855,0.68719,0.83998,0.47609,1.02796,0.000155761,0.000155761,0.000155761
74,4289.06,0.52434,0.32948,0.89635,0.99293,0.82951,0.855,0.68722,0.82881,0.47376,1.02689,0.000138077,0.000138077,0.000138077
75,4340.3,0.49967,0.32224,0.8771,0.9922,0.82962,0.855,0.68702,0.82014,0.46232,1.02963,0.000120393,0.000120393,0.000120393
76,4391.61,0.52406,0.32803,0.88968,0.99224,0.82983,0.855,0.6886,0.82329,0.45838,1.0343,0.000102709,0.000102709,0.000102709
77,4442.74,0.49625,0.31484,0.90736,0.99222,0.82999,0.855,0.69435,0.82289,0.45072,1.0359,8.50255e-05,8.50255e-05,8.50255e-05
78,4493.9,0.51679,0.30784,0.90914,0.99252,0.83043,0.855,0.69116,0.82609,0.43443,1.03998,6.73416e-05,6.73416e-05,6.73416e-05
79,4545.03,0.52454,0.31768,0.90847,0.99285,0.83092,0.855,0.68502,0.83008,0.42747,1.04281,4.96578e-05,4.96578e-05,4.96578e-05
80,4596.53,0.4893,0.31814,0.90353,0.99343,0.83111,0.855,0.68863,0.83146,0.42671,1.04458,3.19739e-05,3.19739e-05,3.19739e-05
